,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_household_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
137,"Toledo, OH",25.602,7030.0,97.5,1106539,34,41428,276822,104181,54831,381234,187068,379288,13167,602098,345709,103117,2751,217,37093,2387
138,"Topeka, KS",64.646,6800.0,90.19999999999999,1080569,38,56677,113442,202951,119448,327110,98581,327747,13314,781655,93359,137578,6510,441,46445,1267
139,"Trenton, NJ",86.714,19990.0,72.5,5676,40,32609,1584,162,96,2388,822,2202,6,576,3798,1290,0,0,6,0
140,"Tucson, AZ",65.516,24140.0,68.69999999999999,3677226,30,44776,678412,548184,369250,906318,593600,1259244,111132,1658174,159264,1591856,55650,4606,91896,4648
141,"Tulsa, OK",41.81700000000001,17900.0,68.89999999999999,1704647,35,66567,292054,316743,167160,446537,248332,525518,42070,925239,259273,282884,68418,2429,121177,3157
142,"Tuscaloosa, AL",22.528,2270.0,142.39999999999998,112833,40,61780,9723,8379,2919,47166,18627,35658,0,94500,14658,2373,189,0,609,504
143,"Tyler, TX",19.561,1930.0,118.6,601125,34,57269,115787,68467,31668,161343,144039,195160,6594,229488,159551,197659,1995,84,5040,714
144,"Urban Honolulu, HI",42.085,17440.0,57.599999999999994,1814225,40,75665,160412,407484,234528,449351,233457,488796,990346,270032,21385,122017,1141,159285,248353,1666
145,"Valdosta, GA",12.261,630.0,141.2,4452,19,-1,0,0,0,0,0,4452,42,1836,2136,150,0,72,216,0
146,"Victoria, TX",11.623,430.0,78.6,283976,35,78681,36792,38680,18776,86736,50616,89152,3868,115836,18152,141028,304,0,4136,652
147,"Waco, TX",27.375000000000004,3160.0,114.0,193102,26,31517,54075,13538,8169,59500,48979,62979,1484,46193,72450,70014,399,56,2457,49
148,"Warner Robins, GA",50.413,3670.0,98.9,486626,34,78530,61761,84651,58023,128338,34279,181657,18788,285243,127379,38080,1029,0,13587,2520
149,"Waterbury, CT",17.802000000000003,1110.0,84.19999999999999,483618,37,43669,108180,39504,21912,174702,113880,133740,14316,157920,93702,200388,72,246,14478,2496
150,"Wichita Falls, TX",5.06,270.0,59.2,197688,31,56167,39744,28893,12117,58329,29277,68994,2889,113724,25344,48462,1209,78,5040,942
151,"Wichita, KS",42.621,12310.0,99.8,1342138,34,75391,199976,240296,110747,370762,182392,437311,35882,873817,125314,248402,8295,252,49455,721
152,"Winston-Salem, NC",37.881,9750.0,84.9,231574,27,34263,13048,65408,50043,30653,8505,76951,9457,160482,40152,14693,399,0,5922,469
153,"Yakima, WA",14.020999999999999,1270.0,94.2,323806,32,52787,50834,29785,22015,89040,87101,95844,1995,145033,2380,162918,3458,70,7665,287
154,"Yuba City, CA",17.753,790.0,126.69999999999999,286713,33,60353,48167,30674,13762,77119,63644,101493,27244,135352,6118,103824,1806,1365,10528,476
