,istech,area_title,tot_emp,sum_area_occupations,jobs_1000,area_name,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
259,1,"Mansfield, OH",1940,45710,21,"Mansfield, OH",93239,40,48143,11688,11088,4951,37723,12274,27166,919,77037,9314,1890,145,0,3790,144
261,1,"Medford, OR",5380,84070,45,"Medford, OR",120259,40,63494,15615,19037,9288,33729,14888,43291,1555,94709,558,17686,958,543,4006,244
263,1,"Merced, CA",3160,71120,48,"Merced, CA",66425,27,54251,17964,6081,2762,16110,21946,19455,8784,16181,3868,35886,161,62,1384,99
265,1,"Midland, MI",650,27670,7,"Midland, MI",86979,42,83439,5616,18764,11966,24021,4852,27397,2050,78760,1753,2438,293,51,1492,142
268,1,"Missoula, MT",3870,59120,40,"Missoula, MT",96393,36,73833,9285,25566,17173,18900,4656,30097,1428,86428,406,3027,2314,17,2733,40
270,1,"Mobile, AL",11050,167420,12,"Mobile, AL",923391,36,54361,149679,158484,84891,283338,108633,287385,15342,479103,383676,27315,1941,96,14019,1899
272,1,"Modesto, CA",9650,179530,43,"Modesto, CA",225009,34,70121,27029,29120,14519,61818,37974,81529,15110,106922,8780,83264,1149,2701,6673,410
274,1,"Monroe, LA",3610,62050,25,"Monroe, LA",142595,32,47925,30504,23048,12092,47451,21039,38937,1587,78827,57370,3160,349,0,1217,85
276,1,"Monroe, MI",1800,34900,33,"Monroe, MI",54621,40,64408,6030,6023,3498,20383,6438,18331,247,48890,2102,1974,227,7,1056,118
278,1,"Montgomery, AL",12830,155120,19,"Montgomery, AL",671394,36,63950,116916,129933,87804,170244,94746,188577,16551,233586,385761,22917,888,27,11100,564
280,1,"Morgantown, WV",4930,62030,51,"Morgantown, WV",95858,33,67376,10708,20988,20413,24942,7637,21865,3405,84116,3790,2155,75,0,1986,331
282,1,"Morristown, TN",1900,43670,27,"Morristown, TN",71359,41,54712,10839,7229,4058,29276,12967,17833,614,59139,2276,7848,96,10,1365,11
284,1,"Muncie, IN",3360,39840,36,"Muncie, IN",92683,32,38638,17304,12378,9506,34438,10128,26174,1501,78727,8034,2360,37,44,1814,166
286,1,"Muskegon, MI",2450,50430,19,"Muskegon, MI",128237,40,52664,20505,15530,7109,44853,14224,46515,671,91975,22439,7112,642,4,5364,30
288,1,"Napa, CA",600,64530,5,"Napa, CA",117077,38,107177,5931,25441,12589,22031,18824,38283,9992,60036,2432,40568,382,272,2958,437
290,1,"New Bedford, MA",3980,59440,28,"New Bedford, MA",140128,39,71082,20755,17775,10743,44793,32270,34526,2712,100346,6045,20231,70,17,3957,6750
292,1,"New Bern, NC",1780,41700,27,"New Bern, NC",66424,41,68290,5608,11400,7323,16775,7724,23159,2495,45554,13215,3530,334,15,1234,47
294,1,"New Haven, CT",5030,250110,29,"New Haven, CT",174213,34,73050,28691,27920,31090,55664,23891,35617,8016,70679,45165,45255,504,23,3935,636
296,1,"Ocala, FL",4450,97170,30,"Ocala, FL",149170,44,57141,22027,19903,11570,52403,19421,45820,2400,104547,21222,17511,227,135,3025,103
298,1,"Ocean City, NJ",1560,34620,135,"Ocean City, NJ",11585,50,152584,487,3569,2076,2664,657,2605,207,9954,296,922,9,0,197,0
300,1,"Odessa, TX",4330,72880,19,"Odessa, TX",223263,30,91597,17520,31948,11890,63358,46662,69351,3300,92838,8708,114326,690,100,2972,329
302,1,"Oklahoma City, OK",47940,611000,60,"Oklahoma City, OK",800897,35,79035,95100,153628,79591,206446,108993,252083,31239,487574,80415,132168,22527,523,45685,766
304,1,"Owensboro, KY",2650,47550,32,"Owensboro, KY",83973,38,63691,10999,11278,7302,28708,9626,27012,1249,73306,4314,2666,162,0,2112,164
306,1,"Panama City, FL",4870,71190,37,"Panama City, FL",130496,41,69492,14792,18463,10700,40638,14284,46398,3174,96014,17945,8331,779,11,4007,235
308,1,"Peoria, IL",15150,151510,88,"Peoria, IL",171508,34,68170,21677,34985,21212,43527,17236,54548,7129,116931,32285,8341,405,19,5926,472
310,1,"Pine Bluff, AR",1560,28080,12,"Pine Bluff, AR",126106,37,50220,24482,14374,8232,46574,17656,39254,978,46178,74986,2124,360,0,1336,144
312,1,"Pittsburgh, PA",36070,1014670,85,"Pittsburgh, PA",424929,35,68542,53586,94921,79303,116153,30419,104061,21537,300780,78584,11378,471,51,11219,909
314,1,"Pittsfield, MA",3690,33080,82,"Pittsfield, MA",44775,44,66779,5507,7835,5059,13342,4387,14104,905,37908,1884,2634,99,8,1268,69
316,1,"Pocatello, ID",2320,33580,29,"Pocatello, ID",79564,29,51130,10956,14858,7683,20083,6624,30285,1040,65437,463,7044,3337,150,2006,87
318,1,"Port St. Lucie, FL",8190,146270,29,"Port St. Lucie, FL",286826,46,71817,27883,41713,22677,92033,34933,95539,6284,187374,38014,49420,643,363,4520,208
320,1,"Prescott, AZ",3780,62140,20,"Prescott, AZ",190002,51,53487,17006,30266,20680,48382,17732,72946,2172,156110,1146,26266,852,0,3328,128
322,1,"Pueblo, CO",2640,59260,17,"Pueblo, CO",157537,38,57147,24514,21663,12149,45957,17830,59951,1066,81150,2590,68656,837,134,2794,310
324,1,"Punta Gorda, FL",2110,46340,65,"Punta Gorda, FL",32604,61,84254,2074,6538,4064,8799,3202,10017,174,28509,1332,1855,215,61,393,65
326,1,"Racine, WI",4020,71370,30,"Racine, WI",133183,38,70498,14187,20823,11066,40450,16138,44734,1955,85645,19542,21865,363,17,3674,122
328,1,"Raleigh, NC",37150,585510,45,"Raleigh, NC",834025,35,94978,71940,251828,143947,141477,75072,221693,40646,471240,205133,93773,2209,406,18044,2574
330,1,"Rapid City, SD",3110,63410,30,"Rapid City, SD",103485,36,67467,10651,20025,10348,28171,6835,38203,1237,83317,1123,4696,8416,71,4516,109
332,1,"Reading, PA",3120,156120,26,"Reading, PA",120748,34,57913,29215,12730,6506,42702,30904,27859,1119,51956,8320,56775,26,0,2280,272
334,1,"Redding, CA",3660,64200,36,"Redding, CA",101298,39,63363,11942,13820,7414,26424,9844,43833,2982,79429,1311,10594,2468,26,4439,49
336,1,"Reno, NV",17110,225660,49,"Reno, NV",350883,38,78892,36126,63617,37654,85853,49799,113980,18237,218216,7616,89830,3577,2227,10573,607
338,1,"Richmond, VA",23970,596760,76,"Richmond, VA",315687,35,72485,41660,74081,49540,73223,37284,81445,8888,150812,125787,19622,424,179,9137,838
340,1,"Roanoke, VA",8040,144420,41,"Roanoke, VA",198441,39,68444,22761,35682,20016,58800,24114,59834,5722,146583,32894,7798,217,171,4776,280
342,1,"Rochester, MN",6780,86670,50,"Rochester, MN",135390,39,98387,8263,33260,26431,26938,7669,41074,8745,107263,8309,6941,225,20,3607,280
344,1,"Rochester, NY",37220,475510,83,"Rochester, NY",450112,37,61064,74256,78559,57097,123177,60445,130730,16690,267955,100199,52069,893,98,11151,1057
346,1,"Rockford, IL",9380,134560,44,"Rockford, IL",212194,38,66390,29606,28785,17201,66777,29027,70374,5316,139931,31845,28929,446,37,5343,347
348,1,"Rocky Mount, NC",2120,52600,48,"Rocky Mount, NC",44168,42,57219,9083,4710,2681,16110,7717,12936,138,14919,27327,1087,32,28,609,28
350,1,"Rome, GA",420,30150,10,"Rome, GA",40827,33,68527,5349,5577,4123,12151,8079,10893,346,28895,8420,2436,99,0,548,83
352,1,"Saginaw, MI",1580,72130,17,"Saginaw, MI",92424,38,45685,20388,9504,4990,32306,14512,31130,861,45038,31274,11684,256,12,3224,75
354,1,"Salem, OR",12360,166980,55,"Salem, OR",225627,37,72800,24428,37884,22887,57664,27354,79777,4603,160667,2432,46266,1500,1979,7976,204
356,1,"Salinas, CA",8520,170840,45,"Salinas, CA",188000,36,91589,25584,19318,9427,42561,69555,47115,10418,38191,2276,133506,350,221,2742,296
