,area_title,area_name,zipcode,state,city,population,median_age,race_asian,race_white,race_black,race_native,race_islander,race_other,race_two,race_hispanic,average_household_income,family_households_total,family_poverty_pct,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,family_poverty
92,"Anchorage, AK",ANCHORAGE,99567,Alaska,Anchorage; Knik River,9011,36,410,7259,4,321,0,0,597,420,118189,2415,4.2,1757,1000,2703,153,3388,378
93,"Anchorage, AK",ANCHORAGE,99577,Alaska,Anchorage,28210,32,915,21824,493,1005,154,43,1978,1798,117793,7192,1.3,7278,4316,5783,789,10014,366
94,"Anchorage, AK",ANCHORAGE,99587,Alaska,Anchorage,2233,32,11,1665,0,2,0,0,343,212,124111,469,0.0,1185,187,259,8,591,0
95,"Anchorage, AK",ANCHORAGE,99631,Alaska,Anchorage; Crown Point; Moose ,282,45,0,198,0,0,0,0,40,44,99778,87,29.9,28,0,164,0,89,84
96,"Anchorage, AK",ANCHORAGE,99686,Alaska,Anchorage; Whittier; Valdez,3925,37,89,3224,4,75,3,0,264,266,103941,728,8.0,934,404,1016,39,1530,314
97,"Anchorage, AK",ANCHORAGE,99501,Alaska,Anchorage,17084,34,999,9015,1412,2189,539,111,1459,1360,87441,3142,11.4,3553,2238,4048,1605,5654,1947
98,"Anchorage, AK",ANCHORAGE,99502,Alaska,Anchorage,24505,32,2028,15271,857,1257,408,50,2014,2620,111653,5941,4.5,5709,3112,6003,1176,8527,1102
99,"Anchorage, AK",ANCHORAGE,99503,Alaska,Anchorage,13668,34,2102,5944,1257,1548,476,43,961,1337,64578,2522,12.3,2132,902,4168,1667,4797,1681
100,"Anchorage, AK",ANCHORAGE,99504,Alaska,Anchorage,42161,32,4251,21416,4340,2936,1792,23,3861,3542,92815,10037,5.7,8094,4511,10919,3204,15388,2403
101,"Anchorage, AK",ANCHORAGE,99505,Alaska,Anchorage,6477,21,188,3976,564,14,29,60,362,1284,78229,1069,4.1,1444,783,1418,142,2687,265
102,"Anchorage, AK",ANCHORAGE,99506,Alaska,Anchorage,7255,23,269,4058,1015,11,139,18,539,1206,63934,2045,4.8,1414,507,1269,0,4062,348
103,"Anchorage, AK",ANCHORAGE,99507,Alaska,Anchorage,38739,34,4965,22798,1758,2505,332,25,3030,3326,110807,9549,4.0,8755,4764,8406,3099,13713,1549
