,0,139,59,2,1,3,397,51,8,2,0,0
332,Syracuse,,,,,, NY,,,,,
333,Tallahassee,,,,,, FL,,,,,
334,Tampa,St. Petersburg,Clearwater,,,, FL,,,,,
335,Terre Haute,,,,,, IN,,,,,
336,Texarkana,,,,,, TX,AR,,,,
337,The Villages,,,,,, FL,,,,,
338,Toledo,,,,,, OH,,,,,
339,Topeka,,,,,, KS,,,,,
340,Trenton,,,,,, NJ,,,,,
341,Tucson,,,,,, AZ,,,,,
342,Tulsa,,,,,, OK,,,,,
343,Tuscaloosa,,,,,, AL,,,,,
344,Twin Falls,,,,,, ID,,,,,
345,Tyler,,,,,, TX,,,,,
346,Urban Honolulu,,,,,, HI,,,,,
347,Utica,Rome,,,,, NY,,,,,
348,Valdosta,,,,,, GA,,,,,
349,Vallejo,Fairfield,,,,, CA,,,,,
350,Victoria,,,,,, TX,,,,,
351,Vineland,Bridgeton,,,,, NJ,,,,,
352,Virginia Beach,Norfolk,Newport News,,,, VA,NC,,,,
353,Visalia,Porterville,,,,, CA,,,,,
354,Waco,,,,,, TX,,,,,
355,Walla Walla,,,,,, WA,,,,,
356,Warner Robins,,,,,, GA,,,,,
357,Washington,Arlington,Alexandria,,,, DC,VA,MD,WV,,
358,Waterloo,Cedar Falls,,,,, IA,,,,,
359,Watertown,Fort Drum,,,,, NY,,,,,
360,Wausau,,,,,, WI,,,,,
361,Weirton,Steubenville,,,,, WV,OH,,,,
362,Wenatchee,,,,,, WA,,,,,
363,Wheeling,,,,,, WV,OH,,,,
364,Wichita,,,,,, KS,,,,,
365,Wichita Falls,,,,,, TX,,,,,
366,Williamsport,,,,,, PA,,,,,
367,Wilmington,,,,,, NC,,,,,
368,Winchester,,,,,, VA,WV,,,,
369,Winston,Salem,,,,, NC,,,,,
370,Yakima,,,,,, WA,,,,,
371,York,Hanover,,,,, PA,,,,,
372,Youngstown,Warren,Boardman,,,, OH,PA,,,,
373,Yuba City,,,,,, CA,,,,,
374,Yuma,,,,,, AZ,,,,,
375,Bangor,,,,,, ME,,,,,
376,Barnstable Town,,,,,, MA,,,,,
377,Boston,Cambridge,Nashua,,,, MA,NH,,,,
378,Bridgeport,Stamford,Norwalk,,,, CT,,,,,
379,Burlington,South Burlington,,,,, VT,,,,,
380,Danbury,,,,,, CT,,,,,
381,Dover,Durham,,,,, NH,ME,,,,
382,Hartford,West Hartford,East Hartford,,,, CT,,,,,
383,Leominster,Gardner,,,,, MA,,,,,
384,Lewiston,Auburn,,,,, ME,,,,,
385,Manchester,,,,,, NH,,,,,
386,New Bedford,,,,,, MA,,,,,
387,New Haven,,,,,, CT,,,,,
388,Norwich,New London,Westerly,,,, CT,RI,,,,
389,Pittsfield,,,,,, MA,,,,,
390,Portland,South Portland,,,,, ME,,,,,
391,Portsmouth,,,,,, NH,ME,,,,
392,Providence,Warwick,,,,, RI,MA,,,,
393,Springfield,,,,,, MA,CT,,,,
394,Waterbury,,,,,, CT,,,,,
395,Worcester,,,,,, MA,CT,,,,
